,text
118,"The next step for me is to work with our British allies and hopefully others to create an intel cell that will make available to the public Russian military units engaged in war crimes and start naming their commanders. 

A name-and-shame campaign is in the making."
119,"Very excited the U.S. Senate unanimously agreed to support the war crimes investigation being conducted against Putin &amp; his inner circle at the Hague. 

America should do all we can to aid this investigation by providing information &amp; intelligence to the court in a timely manner."
120,"Very sad to hear my good friend @schousespeaker Jay Lucas will not be seeking reelection for the South Carolina House of Representatives.
 
Jay did an incredible job as Speaker of the House and has much to be proud of. He created a model for others to follow."
121,The Attorney General has a bold and appropriate plan in these areas and I will do what I can to help to hold Putin and his regime accountable.
122,It is imperative Congress work with the Department of Justice in a timely manner to update our laws and create new authorities to go after the bad guys. We should provide additional funding to have a robust Rule of Law response to Putin.
123,"➡️Holding Putin and his Russian oligarchs accountable.
➡️Securing the homeland from overseas cyberattacks.
➡️Seeking justice for the many outrages committed against Ukraine."
124,Great meeting with Attorney General Garland today about the way forward on several issues involving Ukraine and Russia including:
125,"RT @newsmax: LINDSEY GRAHAM: ""What I think happened is that the Russians told Biden and his team that if you send these MiGs in, that will…"
126,RT @FoxNews: Lindsey Graham slams 'AWOL' Biden: 'Despicable' not to help Ukraine with MiG fighter jets https://t.co/Mx9ahPv1tQ
127,"Speaking with @HARRISFAULKNER in just a few minutes about the latest on Ukraine.

Tune in!"
128,RT @FoxNews: Lindsey Graham reveals when he would support a no-fly zone in Ukraine https://t.co/6gM2Alrbnv
129,"RT @seanhannity: RUSSIA, SYRIA AND CHINA: Russia is reportedly asking China for both military and economic aid. PLUS, Putin is recruiting S…"
130,"RT @UofSCnewsy: 🆕 Today, @UofSC_CAS Dean and @UofSC Rule of Law Collaborative Director Joel Samuels and @ROLC_USC Deputy Executive Director…"
131,"RT @MaryGreenNews: In @UofSCLaw roundtable on Ukraine, @LindseyGrahamSC says “world order is at stake” w/ war in Ukraine. Graham describes…"
132,"RT @MakaylaEvans21: “The Ukrainians aren’t perfect, but they are putting up one hell of a fight and that matters to us.” - @LindseyGrahamSC…"
133,"RT @IAmNickReynolds: On whether regime change could lead to someone worse than Putin taking power. 

""I'm willing to take that bet,"" Graham…"
134,"RT @tobydouthat: @LindseyGrahamSC at @UofSCLaw roundtable on Ukraine: ""What is at stake here? World order. This is 2022. If you can do what…"
135,"RT @IAmNickReynolds: Graham says he has faith in the Russian people, but institutions are weak. Raises Wilson's point about how cell phones…"
136,RT @USCCarolinaNews: U.S Senator @LindseyGrahamSC spoke at UofSC Law school today he believes “The rule of law if it means anything it mean…
137,"RT @SydniSpeakstv: Sen. Lindsey Graham,“One of the greatest tools in the toolbox is the Rule of Law.” 

• Speaking on solidarity with Ukrai…"
138,"@RepJoeWilson delivering remarks now. 

WATCH: https://t.co/cmyAb0mlI5"
139,"Speaking now on Ukraine at @UofSCLaw.  

WATCH: https://t.co/cmyAb0mlI5"
140,"Speaking now: Deputy Executive Director of @ROLC_USC Steven Austermiller. 

WATCH: https://t.co/cmyAb0mlI5"
141,"Speaking now: Joel Samuels, Dean of @UofSC_CAS and Executive Director of @ROLC_USC. 

WATCH: https://t.co/cmyAb0mlI5"
142,"I’m joining @RepJoeWilson in a roundtable discussion at @UofSCLaw on “Assessing the Conflict in Ukraine and Possible War Crimes.”

WATCH NOW: https://t.co/cmyAb0mlI5"
143,Speaking with @foxandfriends in just a few minutes.  Tune in!
144,Speaking with @MariaBartiromo in just a few minutes. https://t.co/yjlSkqm469
145,"Learn more about the “Clemson 8” Challenge and the incredible story of Colonel Ben Skardon.

https://t.co/Z9hpecfved

Clemson 8 Challenge
https://t.co/DuKCO3LGrR"
146,"On April 9, 1942, six Clemson alumni became POWs with tens of thousands of their brothers-in-arms when American troops fighting in the Philippines were ordered to surrender to the Japanese. 

This morning I attended the “Clemson 8” Challenge to honor these and other heroes. https://t.co/do79fTwqxG"
147,"We must not let Putin determine the course of action we take to provide military assistance to the Ukrainians.  

The denial of MiGs is a major misstep in the effort to support Ukraine."
148,"The decision to reverse course on sending the MiGs to Ukraine by the Biden Administration emboldens Putin, reduces the capability of Ukrainians to defend themselves and is a complete capitulation to threats made by Putin."
149,"This decision, in coordination with other economic sanctions, should deliver a crippling blow to the Russian economy.  

Today’s decision regarding trading status is by no means an adequate substitute for providing Ukraine with MiG-29 fighter jets to defend their homeland."
150,"Very much support President Biden and the G7 leaders’ decision to terminate Most Favored Nation (MFN) trading status with Russia.  

This is another step in the right direction which should have been done earlier.  

https://t.co/dc0Vb1o0Od"
151,RT @FoxNews: FROM BAD TO WORSE: Lindsey Graham calls Biden administration’s refusal to provide Ukraine with fighter jets ‘dishonorable.’ ht…
152,"The legislative process can be unseemly and ugly. However, with passage we funded the government and avoided a government shutdown.  

We also helped the U.S. military with an increase in spending as well as provided much-needed aid to Ukraine as they fight for their freedom. https://t.co/7dgNb0Yk62"
153,RT @SenateGOP: Senate GOP discusses the need to equip Ukraine with MiG aircraft so they can protect the skies and defend their country. htt…
154,Speaking with @FoxNews @johnrobertsFox and @SandraSmithFox in just a few minutes.
155,"RT @newsmax: ""What happens in Ukraine, doesn't stay in Ukraine.""

""How this turns out depends on what China will do with Taiwan and what Ir…"
156,"We cannot let Putin run NATO or freeze our ability to respond appropriately.  

▶️  The Ukrainian President asked for the jets.  

▶️  Poland and other nations are willing to supply jets.  

▶️  The Biden Administration/America fiddles while Ukraine burns.  

Send the jets!"
157,"The Biden Administration apparently supported Poland, a NATO member, transferring the jets, but all of a sudden it is untenable when America is involved in the transfer."
158,I’m beyond dumbfounded the Biden Administration is opposing the transfer of Polish MiGs to Ukrainian pilots so they can defend their homeland.
159,"Speaking with @marklevinshow tonight at 8:20 PM about the latest on Ukraine-Russia.

LISTEN LIVE:
https://t.co/xTRNQZybAk"
160,"Speaking with @ericbolling on @newsmax about the latest on Ukraine-Russia in just a few minutes.

WATCH:
https://t.co/w4FS4QDKXb"
161,"I hate this for the Russian people, but they need to understand that Putin’s invasion of Ukraine has brought worldwide condemnation and outrage. 
 
Putin is a war criminal who needs to go – at the hands of the Russian people – by any means possible."
162,"Thank you to @McDonalds for pulling out of Putin’s Russia.
 
https://t.co/UwM8T2e2SE"
163,@ZelenskyyUa It’s long past time for Putin’s murderous regime to end by the hands of the Russian people.
164,"@ZelenskyyUa When it comes to trusting Putin, remember Russia’s flagrant violation of the 1994 Budapest Memorandum.  

If the West capitulates to Putin in Ukraine today, Taiwan will fall and the Iranians sprint towards a nuclear bomb."
165,@ZelenskyyUa He is right to remind the West that if we capitulate to Putin in Ukraine this problem only gets worse.
166,"President @ZelenskyyUa presentation to the British Parliament was beyond inspiring.

https://t.co/DQ1Q4MaiYo"
167,"Trying to cut off oil dependency from a war criminal like Putin by replacing it with oil from a religious Nazi like the Ayatollah is stupid, dangerous, and tells you how much the Biden Administration is controlled by the radical Left."
168,"If we seek to replace Russian oil by buying more oil from Venezuela and Iran, that would be the height of insanity."
169,"Great….

And

Late…..

https://t.co/eTJWZpnQHi"
170,"RT @seanhannity: WHOOPI SLAMS TRUMP: “The View” co-host Whoopi Goldberg claimed that if Donald Trump were still president, he would’ve give…"
171,"Anything less is a disservice to the Ukrainian people, the Russian people, and world order."
172,I challenge Secretary Blinken and the Biden Administration to declare the activities of Putin and his inner circle as war crimes and have the Administration fully support the investigation and prosecution of Putin as a war criminal.
173,"It is clear to me the world would be a better place if there was regime change in Russia. 

Putin is a war criminal who needs to go - at the hands of the Russian people - by any means possible.

https://t.co/bY0MAa0PL6"
174,"Takeaways from our call this morning with President 
@ZelenskyyUa 

#StandWithUkraine️ https://t.co/V4boEuvHQj"
175,"Speaking with @seanhannity in just a few minutes about Putin and Russia-Ukraine.

📺: Fox News Channel"
176,"RT @JordanSekulow: Sen. Lindsey Graham On Air to Break Down Putin Tweet

WATCH on Rumble: https://t.co/S5AW5lrdfM"
177,"God bless the brave men and women of the @BBC in Russia.  

To the Russian people -- End This Madness.

https://t.co/hOMVEm9G9B"
178,"Now speaking with Brian @kilmeade about the latest on Ukraine-Russia.

🕦: 11:30 AM
📍:  @foxnewsradio
📻:  https://t.co/k2IWMEqGId"
179,"Speaking with Brian @kilmeade about the latest on Ukraine-Russia.

🕦: 11:30 AM
📍:  @foxnewsradio
📻:  https://t.co/k2IWMEqGId"
180,"Speaking with @foxandfriends this morning at 7:30 AM.

Tune in!"
181,https://t.co/0QjNBX1ZqZ
182,"The only people who can fix this are the Russian people.

Easy to say, hard to do.  

Unless you want to live in darkness for the rest of your life, be isolated from the rest of the world in abject poverty, and live in darkness you need to step up to the plate."
183,"Is there a Brutus in Russia?  Is there a more successful Colonel Stauffenberg in the Russian military?  

The only way this ends is for somebody in Russia to take this guy out.   

You would be doing your country - and the world - a great service."
184,"RT @seanhannity: GRAHAM SLAMS PUTIN: Sen. Lindsey Graham says Putin should be tried for international war crimes. TONIGHT on “Hannity,” Sen…"
185,Joining @marthamaccallum now on @FoxNews. Tune in!
186,"Thank you to my colleagues for cosponsoring this important resolution: 

➡️@RogerMarshallMD 
➡️@MartinHeinrich"
187,"Speaking momentarily at a press conference on the bipartisan Ban Russian Energy Imports Act.

WATCH: https://t.co/9WI0yl0RRu"
188,"Thank you to my colleagues for cosponsoring this important resolution: 

➡️@SenFeinstein 
➡️@JerryMoran 
➡️@marcorubio 
➡️@ChuckGrassley 
➡️@SenBooker
➡️@SenatorCollins 
➡️@ChrisVanHollen 
➡️@SenAmyKlobuchar"
189,"Thank you to my colleagues for cosponsoring this important resolution:

➡️@ChrisCoons 
➡️@SenatorCardin 
➡️@SenJoniErnst 
➡️@SenAngusKing 
➡️@SenThomTillis 
➡️@SenatorBaldwin 
➡️@JohnCornyn"
190,"Just introduced resolution condemning the Russian Federation, Vladimir Putin, &amp; Russian military commanders for committing flagrant acts of aggression &amp; atrocities rising to the level of war crimes against humanity &amp; crimes against the Ukrainian people.

https://t.co/XD4kziVWYx https://t.co/2qpQBM0JOi"
191,"Russian military leaders, service members, pilots, and anyone else who carries out war crimes under Putin’s direction do so at their own peril."
192,"We should work with our allies, partners, and the UN to document war crimes, track Russian units involved, and release names of those responsible for these atrocities.
 
This worked in the Balkans and I believe it will work in Ukraine."
193,"Could not agree more with British Prime Minister @BorisJohnson regarding his evaluation of Russian military actions being war crimes in Ukraine.
 
https://t.co/hwvcyoADcH"
194,"Speaking about my resolution pushing for the investigation of Putin as a war criminal and the latest on Ukraine-Russia.

📺 : @CBSMornings 
⏰: 8:30 AM"
195,RT @NewsHour: WATCH: Sen. Lindsey Graham urges prosecution of claimed Russian war crimes. https://t.co/r8zWhvBKfb
196,RT @RepSpartz: .@LindseyGrahamSC &amp; I held a press conf. on the Senate resolution supporting investigations at The Hague into war crimes &amp; c…
197,Israel understands what it’s like to be a democracy facing bad guys. I treasure the Israel-U.S. relationship.
