,text
112,"This little girl had big dreams and ticked through goals like a to-do list. So when she experienced her first failure, it rocked her confidence.

#ThisLittleGirlIsMe

I wish I could tell her to embrace her shortcomings rather than hide them—they help you become your best self. https://t.co/AntudnLQBH"
113,"#PaidLeave is good for women, families, and the economy. 

Business leaders get it. It's time Congress does too. https://t.co/eE3DwyZA0F"
114,"I had the honor of speaking at an event in memory of my friend Hans Rosling. 

Hans had a gift for using his sharp mind and big heart to serve those often overlooked—especially women and girls. May his example inspire us to keep pushing for the better world he always envisioned. https://t.co/If3Db9NKnD"
115,We need to get this right—the stakes are too high not to.  https://t.co/XGRvjQnUcc
116,Our first book will launch in 2023—stay tuned for updates at https://t.co/FjWBY7ChSw!
117,"So excited to partner with @Flatironbooks to launch Moment of Lift Books, a new platform that will publish authors who are working to advance gender equality. I can’t wait to share their ideas with you. 
https://t.co/Aeu5xa2LJA"
118,".@hboushey46 is right: The pandemic revealed just how little support there is for U.S. workers who fall ill or need to care for loved ones.

Thankfully, we have a chance to course-correct by passing paid leave. Let’s take it. https://t.co/Out6z5d3MQ"
119,"New research from @LeanInOrg highlights disturbing trends in corporate America. While women stepped up to lead during the pandemic, they are significantly more burned out—&amp; more so than men. Policies and practices must change to retain top talent. https://t.co/Q4F5dmllAO"
120,"Now is the time to send a clear message to the White House and Congress: We shouldn’t have a budget that leaves women behind. For the sake of our families, our country, and our future, #PaidLeave must stay. /2"
121,Don't wait any longer to contact your representatives. We stand at the cusp of seizing a once-in-a-generation opportunity to provide paid family and medical leave for all workers. But #PaidLeave is at risk of getting cut from the final budget package. /1
122,"Girin’s belief that every child can learn—and his impatience with the systems that leave so many behind—powered the @gatesfoundation’s global education strategy. He was a brilliant thinker, an inspiring leader, and a cherished friend. I will miss him. https://t.co/A4GMhbjcRd"
123,"RT @MomsRising: In a moment when employers are scrambling to fill open jobs, 37% of unemployed workers said access to paid family leave wou…"
124,RT @johnlegend: “The question is not whether U.S. workers will need time away from work—it’s whether this is the year Congress will ensure…
125,RT @TheMandyMoore: I’m joining @melindagates and other leaders to call on Congress to seize this once-in-a-generation opportunity to pass a…
126,"These are questions no one should be forced to ask.

The answer is clear: We need a national #PaidLeave policy.

(Art by @sarahmirk) https://t.co/g9MUzU7Udx"
127,@johnlegend Thank you for sharing this @Johnlegend - let’s get #PaidLeave passed!
128,@BillieJeanKing Completely agree @BillieJeanKing – let’s make sure we preserve this opportunity to pass #PaidLeave!
129,@alexisohanian Let’s get it done @AlexisOhanian!
130,@katiecouric Thank you @katiecouric for speaking out on this issue!
131,"If you care about these things—women, families, our economy—join me and other leaders in calling your representatives in Congress today. Tell them we can’t have a budget that leaves women behind. Tell them paid leave must stay in. https://t.co/KrUvre5Q2f"
132,"Women's jobs. Families’ well-being. The country’s recovery and growth. That’s what is at stake when we talk about paid leave. Those things are non-negotiable. Paid leave should be non-negotiable, too."
133,"We know:

1. Women's labor force participation is the lowest since 1988.

2. Employers are scrambling to fill jobs.

3. 37% of unemployed workers say access to paid leave would make them more likely to return to work sooner. (I wrote about this in @TIME. https://t.co/nAKYqNYx7h)"
134,"As we speak, Congress is debating whether #paidleave stays in the final budget package—or gets cut. In other words, they're debating whether women will be left behind."
135,"I just got back from DC, where I met with government leaders who are working hard to seize a once-in-a-generation opportunity to guarantee paid family and medical leave for all workers. But it's no secret that the opportunity may slip away."
136,"In communities where women have access to contraceptives, entire families are healthier, wealthier, and far better equipped to break the cycle of poverty.

How have contraceptives opened possibilities for you? #WorldContraceptionDay https://t.co/LwKs7XPKXc"
137,.@POTUS’ commitment to increase the number of vaccines that the United States donates to other countries is an important one. Vaccine equity is crucial to a full recovery from this pandemic. https://t.co/F3bZnktQEH
138,"Earlier this week, world leaders came together at #UNGA to chart a path out of the COVID-19 crisis. Our team at the @GatesFoundation suggests three crucial steps forward:

1. Vaccinate now
2. Contain the disease
3. Coordinate a global response https://t.co/rdsxNp1cHX"
