,text
157,"Are celebrations of non-traditional holidays like #PiDay, leveraged by marketers for sales, effective? Research by @VanderbiltOwen's Kelly Haws shows consumers are more likely to make a purchase when offered a themed promotion like BOGO pies on Pi Day. https://t.co/j4kcSDaXzz"
158,"RT @VandyAD: WHAT A DAY, Commodore Nation! It started with wins for @VandyMTennis and @VandyWTennis, followed by a @VandyBoys victory ... a…"
159,"RT @VandyWBB: WE’RE NOT DONE YET!

#AnchorDown https://t.co/nsVei5quL9"
160,"RT @VandyMBB: Not. Done. Yet. 

#AnchorDown https://t.co/9kLpREQaud"
161,"“There is clear evidence that going back and forth not only affects adults with [more] heart attacks and strokes but also affects our kids, particularly with teen sleep deprivation.” 

-Beth Ann Malow, professor of  neurology, on #DaylightSavingTime via @washingtonpost. https://t.co/L0i7KZrFus"
162,"Some of VU’s leading experts recently came together to discuss what’s next in the COVID-19 pandemic.

Watch takeaways from “The COVID Conundrum: What’s Next” hosted by the Chancellor’s Lecture Series in partnership with @VUBasicSciences:
https://t.co/ywFqdB2pr6 https://t.co/kevzlF8AQD"
163,"RT @VandyMBB: 𝙒𝙚𝙖𝙩𝙝𝙚𝙧𝙚𝙙 the Tide.

#AnchorDown https://t.co/HmvaZica8u"
164,@smiller_educ8or @etsu @ETSUAlumni @lipscomb @UTKnoxville @TeachHigh32 Anchor Down! ⚓️⬇️
165,"I Am Vanderbilt celebrates the talents and contributions that the people of VU bring to work each day.

Meet Ashley Majewski, a program coordinator in the Division of Administration who has worked on some of the biggest initiatives shaping campus ⬇️ https://t.co/KXOmzHgVpw"
166,"Vanderbilt will no longer require masking or physical distancing indoors. The change is effective immediately and aligns the university with recent CDC guidance that classifies Davidson County in the “medium” COVID-19 community level.

Learn more ⬇️ https://t.co/24vXUoqdbb"
167,"RT @espn: Candice Storey Lee is the first female athletic director in the SEC, and the first at Vanderbilt. 

She's using her story to insp…"
168,"Jeanne Wanzek and Elizabeth Biggs, who are both @vupeabody faculty members, have been awarded grants totaling $4.5 million to examine the effectiveness of targeted literacy interventions for students with reading disabilities.
https://t.co/OfWLvAGezy"
169,"Vanderbilt researchers Laurie Cutting and Sarah Osmundson received an $8 million @NIH grant to study the brain development of infants and children.
https://t.co/I7WMpImVwX"
170,".@VUEngineering’s Audrey Bowden, who was recently named a recipient of the Lewis Latimer Fellowship, has also been elected to the @SPIEtweets Board of Directors.
https://t.co/6n9qry0Vf6"
171,".@vupeabody faculty members Melissa Gresalfi and Anita Wager received a $2.5 million grant from @NSF to support research on learning math through play.
https://t.co/uGdEQ4q1NU"
172,"Vanderbilt sociologist Lijun Song’s research on the double-edged role of social networks across societies won the American Sociological Association’s 2021 Best Publication Award.
https://t.co/MFhv2pDe8m"
